Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),BLOCK BALCONY_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_3_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK STORAGE_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK BATHROOM_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly) 
 01/02  16:00:00,4.8,13.475301052451418,22.551661928865579,22.54182687214028,22.85665649107839,22.521596120165876,11.86007032004445,22.476125208493924,11.517235908911563,2579.660528676697 
 01/02  17:00:00,4.7,12.349469868123052,22.52849181023428,22.543367541359065,22.610879581397488,22.50263289304324,12.00225802745279,22.462690537347539,11.690349294772954,2767.571253877539 
 01/02  18:00:00,4.5,11.361063472495419,21.77235370096588,21.796654151030727,21.6095562169286,21.758114061059716,12.126646403048876,21.63433901846842,11.893854829046405,0.0 
 01/02  19:00:00,4.6,10.9285364220626,20.691098585862809,20.86458005502577,20.25333559363826,20.772152276067176,12.219797937750635,20.49453955566657,11.995523139953365,0.0 
 01/02  20:00:00,4.7,10.506781256297213,19.70852571079196,20.11538991037026,19.041217527830218,19.927082497926976,12.306291668275728,19.483855874134379,12.104078895461772,79.34409201519205 
 01/02  21:00:00,4.8,10.041010726057659,19.128790661478168,19.28779927670129,19.927977784936276,19.033302838479359,12.380811590523738,19.2548007412785,12.23148326029012,687.9533779642088 
 01/02  22:00:00,4.9,9.699231961202682,18.934596585639324,18.814755845004407,20.19542054124061,18.729429958751358,12.410276948874916,19.24537793026093,12.276793163018914,490.90284224910888 
 01/02  23:00:00,4.9,9.398630011859666,18.706028830843875,18.779874848894424,18.967925784894164,18.793271733532806,12.432781147687568,18.75018855148385,12.31751629199146,1371.0358677345598 
 01/02  24:00:00,5.0,9.181207825562585,18.75782236051503,18.809186974300027,19.111164512899778,18.794845862470035,12.444914312292252,18.722041329094908,12.343171134404898,1766.5619443563667 
 01/03  01:00:00,3.0,8.768572008893285,18.75111256283686,18.78898089120888,18.880803014248948,18.737208972280287,12.424212925550885,18.76706470561109,12.348454413677868,1389.7852779196937 
 01/03  02:00:00,1.0,8.246154366200422,18.71320691740008,18.75662041899958,19.02084607620354,18.740157195431999,12.384094975821448,18.710628994381826,12.344210524057108,1928.810163679284 
 01/03  03:00:00,-1.0,7.674479317190508,18.705230987349297,18.744096810203869,18.896145319919893,18.721064036114407,12.325560556149818,18.70999516402742,12.323981938510919,1749.2533647749347 
 01/03  04:00:00,-2.1,7.159064889210084,18.69401623327692,18.728778046162579,19.132193398009023,18.70931535164246,12.249663118531672,18.704171701530016,12.287843647805199,1921.972720717492 
 01/03  05:00:00,-3.3,6.677549736403861,18.665823036783423,18.717422216790287,18.89383045596375,18.687548115318426,12.157516276782099,18.677911284836826,12.233445700742529,1876.04180791344 
 01/03  06:00:00,-4.4,6.172108687522425,18.65423856435556,18.69178277524111,19.158913648841457,18.674215676389765,12.029676994235193,18.669255817659939,12.147551475264749,2047.3811836187674 
 01/03  07:00:00,-5.1,5.74269782707891,18.632586933014048,18.67821730002104,18.895593333033206,18.655325481521876,11.897143517452499,18.651926714514084,12.051233974213627,2001.8594621101665 
 01/03  08:00:00,-5.7,5.416432966913524,20.898256512283689,21.221032814704477,21.20830274745071,20.78943192433966,11.728647030194779,20.80774651591016,11.917755290947995,9063.356827611187 
 01/03  09:00:00,-6.4,5.427115041435377,22.37118616833648,22.140077740924565,22.389462331152335,22.146290865119508,11.585374228328462,22.199672897506969,11.763938510257106,3279.1061313752803 
 01/03  10:00:00,-6.5,7.59533735120584,22.684543259606956,22.29066890100062,22.681259872049226,22.53465380050628,11.572995108126314,22.293370603719099,11.71999170975798,2925.1695186422494 
 01/03  11:00:00,-6.5,12.169723386511349,22.965672234724999,22.423173008167834,23.488836606194128,22.614176604248397,11.628048611854779,22.365013134045328,11.712672179894284,1843.1048044593626 
 01/03  12:00:00,-6.6,18.23196699926639,23.652358005125185,22.524059365932339,24.342962981682935,22.44330728557094,11.707739327001225,22.379113961935528,11.730020678606751,1759.7860041974764 
 01/03  13:00:00,-6.4,21.82878694489113,24.086253767737074,22.567808302315297,24.712434556943437,22.491602764944927,11.820859374725507,22.408243450667969,11.766948575505925,1657.8848774115913 
 01/03  14:00:00,-6.3,23.2391354273637,24.00565049425053,22.59742094295899,24.52945421258324,22.46726911207924,11.930237200807959,22.41592089386615,11.802254893569396,1638.5922913070533 
 01/03  15:00:00,-6.1,23.026568438172043,23.392832289321797,22.601280978553857,23.86737268062319,22.467399725765515,11.999838000625556,22.40366106878661,11.819269483607578,1645.2837328844412 
 01/03  16:00:00,-6.4,21.70529440128195,22.6963096737771,22.597485555210797,23.043974596800063,22.447948503483674,12.01375914471663,22.386999551058424,11.812153971051746,2115.457060051598 
 01/03  17:00:00,-6.7,18.573997695094258,22.45651630317327,22.541353935524414,22.399378112986058,22.40587528300618,11.942953796645627,22.354462449636669,11.767594747017356,3231.219980348126 
 01/03  18:00:00,-7.0,15.507560900431918,21.638491722281338,21.75573628045426,21.108524005936265,21.493689618373709,11.819308062347116,21.339642040422658,11.696077731190116,0.0 
 01/03  19:00:00,-7.5,13.741857982963272,20.371290541480844,20.786566283578627,19.375545524583836,20.3045570591511,11.698243251795134,19.9597310816546,11.621417391086674,0.0 
 01/03  20:00:00,-7.9,12.146627527552866,19.158528735537624,19.864472911521767,18.558241648225985,19.185923214150028,11.542642466980109,18.876936778190559,11.524636329090097,898.9652261511978 
 01/03  21:00:00,-8.4,10.236872771884098,18.618209452265487,18.86967534942342,18.571349023660589,18.647903591754564,11.31437812080144,18.613234619705428,11.357666234473403,2592.864548647007 
 01/03  22:00:00,-8.5,8.925640249662992,18.707091758714044,18.7145650847131,18.596670598497025,18.701193281695838,11.075982965963322,18.685050863221055,11.193221191263716,2272.272170025539 
 01/03  23:00:00,-8.7,7.811805862294391,18.609181861706234,18.651722067218519,18.55157306200873,18.620862370942349,10.806179575963345,18.587282968198794,10.988848991467532,2662.2394303637116 
 01/03  24:00:00,-8.8,6.849694833378109,18.588872455809815,18.648684749383759,18.84600814764114,18.60107914644142,10.499429286370989,18.577995872438998,10.701969472657164,2761.4409952600317 
 01/04  01:00:00,-9.0,6.056844533762992,18.57173291627855,18.591822930737899,18.890565092200455,18.582781620647056,10.25149810271062,18.564244213794696,10.512762351506172,2527.9200234874256 
 01/04  02:00:00,-9.2,5.339919458939386,18.53016963169949,18.569732782736325,19.0288667909878,18.54911909903575,9.990379347885755,18.531401930702388,10.284922674676786,2642.3332838529777 
 01/04  03:00:00,-9.4,4.71932558911234,18.51404048702518,18.562531539988979,18.943065903687577,18.534487539616888,9.749577083149278,18.51869804070327,10.068920731795798,2697.55228053844 
 01/04  04:00:00,-9.5,4.1678135238107949,18.500246103846103,18.543113413907336,19.029345711908378,18.52165548782645,9.514673697974342,18.50645783626388,9.845782629830755,2787.602884723805 
 01/04  05:00:00,-9.6,3.692107597051219,18.482313092244874,18.524939827481697,18.9153559394292,18.50675785268203,9.298371288282885,18.49136324105829,9.639869765411535,2768.8580435745725 
 01/04  06:00:00,-9.7,3.2599962145037857,18.470767370809985,18.51299503017536,18.37784785989398,18.495385754497585,9.083676146289792,18.481278989449366,9.427381270494685,3214.035020323897 
 01/04  07:00:00,-9.8,2.8889756331182117,18.45970401670407,18.50424293954446,18.381188282291498,18.487027105001915,8.901215055778554,18.47156589275817,9.25457493285268,3439.649251931759 
 01/04  08:00:00,-9.8,2.628344290835914,20.511908311839365,20.92135379756179,20.89037854165545,20.37302782549855,8.698010879380947,20.3574160482533,9.055239505213534,9302.359582694555 
 01/04  09:00:00,-9.9,3.021176441336531,22.033040038725557,21.972278603924616,22.15026480216537,21.897568684969778,8.56602718700126,21.855878564870439,8.904436874010603,5034.75648976768 
 01/04  10:00:00,-7.7,7.022214032395264,22.758904698274223,22.1901539919619,22.75465470682829,22.6143680799362,8.573134672639489,22.165801402923028,8.833339593951969,2768.498184280174 
 01/04  11:00:00,-5.4,12.978493654950585,23.012255855179814,22.257609239025585,23.391508980054789,22.4983457763819,8.6651887155643,22.14735423129346,8.831874795023005,2183.069084768458 
 01/04  12:00:00,-3.2,19.086582467608215,23.537061301183479,22.39788506447277,24.115168900777709,22.276340954139518,8.7972833563547,22.181923264603989,8.876782961878059,2148.5753713303466 
 01/04  13:00:00,-2.2,24.497725643150713,24.37007843987079,22.490166776187203,25.000276570947105,22.3588944362196,8.961660816430952,22.22248338084224,8.957550728256118,1969.4893890275885 
 01/04  14:00:00,-1.2,28.39472019535234,25.127368389555295,22.5734289375328,25.8064331532574,22.354675894490265,9.166590956801365,22.258290600435346,9.071332036136445,1857.1090600713815 
 01/04  15:00:00,-0.2,30.532534035730085,25.469033076087738,22.634895139284706,26.4772993898926,22.402407840459419,9.40801688304098,22.292518865704385,9.211128763584919,1736.5072119284087 
 01/04  16:00:00,-0.8,30.524031347683356,24.91071482929152,22.65105036556396,26.30437085920866,22.41351943914298,9.6238623962242,22.2979959532179,9.336626553457294,1706.083719740081 
 01/04  17:00:00,-1.4,26.625366922740136,23.36729753323979,22.599786965997546,24.14584376733846,22.387369878656384,9.819885258817797,22.28198218976722,9.471883390147078,1797.3633208411024 
 01/04  18:00:00,-2.0,21.927020544633764,21.711135114553849,21.950274582895515,21.54445375614505,21.46728992385794,9.936892663141054,21.210835194442465,9.575964834121214,0.0 
 01/04  19:00:00,-1.9,19.417142092220919,20.530449818165417,21.100245754090783,19.970754227765285,20.303520802332299,10.026587962023655,19.77404282128155,9.6679631676702,0.0 
 01/04  20:00:00,-1.7,17.27443528566262,19.46966286084163,20.289117907483364,18.777030847202295,19.258809276104814,10.088748477424723,18.779688678267964,9.747111527592696,618.5274321280398 
 01/04  21:00:00,-1.6,15.02475103544719,19.216551897427757,19.338481213226215,19.28618451200222,19.159966064398714,10.123476591498163,18.585940158503559,9.828080801335022,931.2034514624319 
 01/04  22:00:00,-1.4,13.373200616839183,19.260390316538655,18.77128400724574,18.956474662490736,19.228866258499953,10.113560936319973,18.677261584427659,9.85398019484577,814.2999337270887 
 01/04  23:00:00,-1.1,12.07650250512271,18.707260457433664,18.74759106465572,19.21939411068178,18.675394863299784,10.096231097950219,18.627626065131105,9.87604691899846,1812.9644317511702 
 01/04  24:00:00,-0.9,11.05395012310963,18.659433715073744,18.73876478219556,19.055051400776308,18.627205574811069,10.0784905587084,18.617050571147595,9.89287611596252,1887.0680498619563 
 01/05  01:00:00,-0.9,10.188213115545667,18.701185928922987,18.718184558687129,19.78590201736057,18.66885589253398,10.065851225865364,18.618916706227475,9.914309780296737,2049.603947914591 
 01/05  02:00:00,-1.0,9.479696676312923,18.672390361290544,18.698971859203433,19.65043565709658,18.646649713054328,10.06378927111956,18.612900757796909,9.926591223206773,1791.1628242910795 
 01/05  03:00:00,-1.0,8.87338859885646,18.66967142364317,18.68572789055538,18.593763895535944,18.64888680344865,10.070911663058589,18.611811360269028,9.945481735380735,2355.967792844167 
 01/05  04:00:00,-0.9,8.347893416047546,18.65823805718293,18.681496956928624,18.574736253807506,18.64168076508679,10.075009519541045,18.608602080201913,9.962918516619139,2468.0092820056216 
 01/05  05:00:00,-0.7,7.877069659403473,18.658090282903009,18.663325545522036,18.723028104211705,18.642798674267725,10.079527987495507,18.6103185360578,9.992092197395842,2601.9075903099197 
 01/05  06:00:00,-0.6,7.490628574014129,18.64179728726495,18.6819049532222,19.679340277572125,18.636167213170407,10.08233334831288,18.608867018154844,10.014972241347018,2525.0174749083917 
 01/05  07:00:00,-0.3,7.203741316308876,18.658211775646174,19.162500541123195,19.307335477929525,18.64083691261444,10.090629959077744,18.609918378978514,10.03634559561686,1800.1511816983002 
 01/05  08:00:00,-0.1,7.067770558634171,20.930524892857276,21.503448034773574,21.252974116996059,20.761388872504655,10.102198525870014,20.737751187428189,10.05287494033066,8810.75780527748 
 01/05  09:00:00,0.2,7.099359388983411,22.39112488250716,22.176958153800354,22.445535631342808,22.116984408135964,10.144828513126,22.141007445266426,10.095309315681592,3280.3812472612003 
 01/05  10:00:00,0.2,7.340886332473628,22.507742941975669,22.298706769058528,22.357645212726678,22.36168245574559,10.246989538433722,22.32155065430544,10.179899730520248,3646.4010919090906 
 01/05  11:00:00,0.1,7.813452717245891,22.34144380171368,22.372109658451927,22.398611258484658,22.341113521320339,10.40533342747706,22.267203173567148,10.29323429355945,3568.023745206422 
 01/05  12:00:00,0.1,8.229783010055339,22.438780234476036,22.384341011066767,22.397782747261915,22.38208839839629,10.600021400414859,22.347503246135714,10.481015970774813,3459.70730258678 
 01/05  13:00:00,0.5,8.840225609430146,22.45147094642963,22.42083331565651,22.58201857858464,22.4143346321276,10.819551723873304,22.376264650950288,10.66750942620136,3110.7178348725233 
 01/05  14:00:00,0.8,9.257765327868932,22.55544783119563,22.450004565818689,23.148339680659974,22.48047078143236,11.031988099297206,22.42598998193732,10.859169176348644,2890.5252071570512 
 01/05  15:00:00,1.2,9.363594691781856,22.40777113708708,22.473118485486269,22.921127486199774,22.40471788484934,11.174790841657904,22.375166183364713,10.982973955796569,2760.350566291196 
 01/05  16:00:00,0.8,9.224220195976658,22.509377017500719,22.49418519563777,22.459043845506586,22.47785171048354,11.325815277880772,22.43404957728564,11.127988406213174,3019.0118753389315 
 01/05  17:00:00,0.5,8.858852317873918,22.48354722814304,22.4820345683407,22.44052180583776,22.456943362283107,11.43297939480689,22.417367646366367,11.252272736890962,3143.9272911666803 
 01/05  18:00:00,0.1,8.459400128475727,21.507871289448177,21.647366014108309,21.156532021148967,21.573062428328016,11.502944497464867,21.46320433756486,11.364885312379292,0.0 
 01/05  19:00:00,0.3,8.205914519716562,20.28553542821685,20.592914070707779,19.800504008429379,20.50785412963249,11.583400799696296,20.22084247347533,11.490414512563336,0.0 
 01/05  20:00:00,0.4,7.965323070658194,19.108196050362854,19.73942466193352,19.410061957256795,19.54681065641209,11.625114722918866,19.075316551487114,11.564616475544492,269.254346329626 
 01/05  21:00:00,0.6,7.638472898348874,18.641849216700697,18.885213690085707,18.994975595187037,18.82064627272323,11.634178882758059,18.649200576498879,11.597283741166518,1170.0758013086993 
 01/05  22:00:00,1.1,7.388359102935745,18.73819916197563,18.72074271945559,20.05747099625311,19.062576654594463,11.61460063777305,18.738470403378174,11.61584553409129,1821.2186227824302 
 01/05  23:00:00,1.7,7.244750990251272,18.753162316328618,18.911450411882634,20.352071747205537,18.963063689202764,11.57972965709677,18.763560393225928,11.600457222242492,1280.351631484598 
 01/05  24:00:00,2.2,7.151099600175857,18.68139177228232,18.792310033406065,18.914305222378517,18.615408754243835,11.546121021254916,18.693357300535504,11.568908583523707,1675.8817736358924 
 01/06  01:00:00,1.8,6.988268798059433,18.684208354339089,18.688819303898169,19.101962601734898,18.707196109173528,11.500866088012636,18.68595095596529,11.53037802981575,2044.8076421855822 
 01/06  02:00:00,1.4,6.814139699134189,18.670919150571856,18.59942516806305,18.82629905547447,18.781196159563117,11.447830679035132,18.67392584992832,11.480680481879276,1563.6012793934485 
 01/06  03:00:00,1.0,6.632399475172274,18.663180261624,18.651577029146087,18.999130695653024,18.704276568092405,11.397895705998508,18.668918526673357,11.443619787010498,2187.9940597892482 
 01/06  04:00:00,0.9,6.503794486335818,18.668114461575504,18.838247463970374,18.81763095324848,18.611613032313163,11.350426004872883,18.673463284044126,11.40209045105502,1819.719013653378 
 01/06  05:00:00,0.7,6.398905823901762,18.66366605320036,18.750215708948376,18.996590046296345,18.65706731451768,11.309102847841148,18.668619462977739,11.371099213603975,2119.8936073556 
 01/06  06:00:00,0.6,6.304709540108934,18.655239557219763,18.692731566445486,18.969854113969153,18.702765426488456,11.27281138680068,18.660808349211196,11.343477690052265,2083.6050634567114 
 01/06  07:00:00,0.6,6.209368452237028,18.654988829571239,18.697724952845929,19.212808533326809,18.672669867055008,11.233199574664118,18.660344972332909,11.3104921503389,2063.5819431999503 
 01/06  08:00:00,0.6,6.2113290051735119,20.968128329639453,21.24182643842113,21.703462771286003,20.83904276094905,11.200546872932133,20.85121668275834,11.280243891178758,8542.923990710899 
 01/06  09:00:00,0.6,6.373684656736766,22.37604761798253,22.269112131509727,22.446204351994547,22.24061585657457,11.201975678263859,22.29292376667623,11.272218998503897,3885.7053933217603 
 01/06  10:00:00,1.7,6.982044805236665,22.53693169883792,22.37795403197952,22.46462697660592,22.485993679097534,11.299117908056282,22.47038827779631,11.323150243873187,3447.2520410481657 
 01/06  11:00:00,2.7,8.253945494375487,22.574246545243363,22.380000093652919,22.595344233644153,22.515501985032583,11.497892034844196,22.47204721677841,11.440243054410406,2855.665447541927 
 01/06  12:00:00,3.8,10.459345738981066,22.691882682665676,22.452001493963008,22.775161343460696,22.5300842365131,11.762547655070107,22.467338217774747,11.611023417996885,2473.343308148388 
 01/06  13:00:00,5.0,13.759230936483915,22.882574294978317,22.531780546580785,23.30944259606057,22.56618713878351,12.061773934407393,22.517524734911427,11.81953384579854,1764.3970137342458 
 01/06  14:00:00,6.3,18.25346567780254,23.2878988257787,22.622291842487468,24.11681266204313,22.594019963056814,12.365272044095854,22.54679807603354,12.04074982598825,1410.201622960682 
 01/06  15:00:00,7.5,23.198904946642825,23.899293445406096,22.707325992427415,25.381678882276785,22.601934994736074,12.637521263206552,22.551173298910379,12.252096251748437,1286.3955920859003 
 01/06  16:00:00,7.2,25.711467357764776,23.947576407870835,22.724584287407465,26.060666944195277,22.59260201528989,12.865374554359914,22.54345803223032,12.43516815457903,1282.8589890518806 
 01/06  17:00:00,6.8,23.676110756881728,22.97119265967005,22.690576471347798,24.591638036896524,22.57375941641806,13.04833428805339,22.52892915383624,12.585445832841835,1505.8599137470462 
 01/06  18:00:00,6.5,20.105326332380707,21.922937209188228,22.150617742487758,22.475093203819087,21.858964862673049,13.178988186661793,21.745685222864155,12.708994286920057,0.0 
 01/06  19:00:00,5.3,18.086906080858627,20.985236061439325,21.445872753495406,21.145238559089905,20.95768437217839,13.267360195206255,20.665302312295503,12.80216845213505,0.0 
 01/06  20:00:00,4.0,16.401423638270747,20.110582265638877,20.823674718471115,19.935719654326364,20.136565131462274,13.320625231024977,19.688203239181278,12.87330436354206,0.0 
 01/06  21:00:00,2.8,15.032727570042109,19.325888941659298,20.206391792068506,19.06023861931329,19.408948381560167,13.319296257415762,18.940410607115248,12.909123191039994,223.8696347394145 
 01/06  22:00:00,2.7,13.539448536907102,19.231921404613315,19.462505166771459,19.768785014318675,19.074986537073586,13.27153089701045,19.21169948227866,12.920485806150675,605.301398589534 
 01/06  23:00:00,2.7,12.43467836872475,19.329170520070109,18.97686777027001,19.79734477258044,18.96065351851447,13.18769179216606,19.174126531611806,12.8775920192466,159.54368633972565 
 01/06  24:00:00,2.6,11.491368973630506,19.113860512877669,19.143682889223528,19.206645631218195,19.188254423834793,13.066205466300378,19.260272229910379,12.796299164508698,757.8596070742419 
 01/07  01:00:00,2.2,10.75184730865372,18.86505564535456,18.967842418677657,18.99513752571732,19.092734492727926,12.950384411581233,19.071332254714738,12.721737958712224,352.0208857792659 
 01/07  02:00:00,1.8,10.024813752873156,19.343036501695719,19.382857231886516,19.804169135583977,19.235899133032264,12.800857642570279,19.352388908804703,12.60097537335244,1626.6506774280363 
 01/07  03:00:00,1.4,9.502180704842229,19.256376973224545,19.352416275975309,19.767232941495359,19.114317573476,12.689826427591385,19.332641999141207,12.52853778023091,0.0 
 01/07  04:00:00,1.4,9.125473641720732,18.69710453623877,18.733339450287173,18.75151361974041,18.682084881461159,12.585054559984462,18.71995710512202,12.443393165875288,1720.068382876847 
